ID,Site Name,Sampling Unit Name,Latitude,Longitude,Sampling Period,Photo Type,Photo Date,Photo Time,Raw Name,Photo Notes,Photo ID URL,Class,Order,Family,Genus,Species,Number of Animals,Person Identifying the Photo,Camera Serial Number,Memory Card Serial Number,Camera Notes,Camera Start Date and Time,Camera End Date and Time,Person setting up the Camera,Person picking up the Camera,Camera Make,Camera Model,Flash,Exposure Time,Sequence Info,Triplet Number,Moon Phase,Temperature,Camera Firmware Version,Protocol Version,Data Set Creator Institutions,Data Set Creator Scientist,Data Set Contact,Data Level
817264,Volcán Barva,CT-VB-1-1,10.4223097014897,-84.0212002357247,2011.01,Animal,2012-01-14,09:06:43,IMG_0040.JPG,,http://www.teamnetwork.org/DataDownloadApp/jsp/download/download-img.jsp?id=817264,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,1,Johanna Hurtado,RM13AC09004345,1,there is not pictures of starting and ending with the board and person involved.,2012-01-10 16:26:52,2012-02-10 06:48:49,Gilbert Hurtado,Gilbert Hurtado,'Reconyx','RM45 RAPIDFIRE',24,179/13440 (0.013),  RM13AC09004345, M 1/3,6,23, 3.0.0.20091014,Terrestrial Vertebrate-1,Organization for Tropical Studies,Johanna Hurtado,Johanna Hurtado,Level 0
817446,Volcán Barva,CT-VB-1-1,10.4223097014897,-84.0212002357247,2011.01,Animal,2012-01-14,09:06:46,IMG_0041.JPG,,http://www.teamnetwork.org/DataDownloadApp/jsp/download/download-img.jsp?id=817446,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,1,Johanna Hurtado,RM13AC09004345,1,there is not pictures of starting and ending with the board and person involved.,2012-01-10 16:26:52,2012-02-10 06:48:49,Gilbert Hurtado,Gilbert Hurtado,'Reconyx','RM45 RAPIDFIRE',24,179/13440 (0.013),  RM13AC09004345, M 2/3,6,23, 3.0.0.20091014,Terrestrial Vertebrate-1,Organization for Tropical Studies,Johanna Hurtado,Johanna Hurtado,Level 0
817434,Volcán Barva,CT-VB-1-1,10.4223097014897,-84.0212002357247,2011.01,Animal,2012-01-14,09:06:47,IMG_0042.JPG,,http://www.teamnetwork.org/DataDownloadApp/jsp/download/download-img.jsp?id=817434,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,1,Johanna Hurtado,RM13AC09004345,1,there is not pictures of starting and ending with the board and person involved.,2012-01-10 16:26:52,2012-02-10 06:48:49,Gilbert Hurtado,Gilbert Hurtado,'Reconyx','RM45 RAPIDFIRE',24,179/13440 (0.013),  RM13AC09004345, M 3/3,6,23, 3.0.0.20091014,Terrestrial Vertebrate-1,Organization for Tropical Studies,Johanna Hurtado,Johanna Hurtado,Level 0
818878,Volcán Barva,CT-VB-1-10,10.4355645258434,-84.0342054510957,2011.01,Animal,2012-01-12,05:23:39,IMG_0007.JPG,,http://www.teamnetwork.org/DataDownloadApp/jsp/download/download-img.jsp?id=818878,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,2,Johanna Hurtado,P800EE04125936,10,,2012-01-10 20:53:45,2012-02-09 20:38:51,Marcos Molina,Marcos Molina,,,,1/30,P800EE04125936,1 of 3,Waning Gibbous,25,,Terrestrial Vertebrate-1,Organization for Tropical Studies,Johanna Hurtado,Johanna Hurtado,Level 0
818895,Volcán Barva,CT-VB-1-10,10.4355645258434,-84.0342054510957,2011.01,Animal,2012-01-12,05:23:40,IMG_0008.JPG,,http://www.teamnetwork.org/DataDownloadApp/jsp/download/download-img.jsp?id=818895,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,2,Johanna Hurtado,P800EE04125936,10,,2012-01-10 20:53:45,2012-02-09 20:38:51,Marcos Molina,Marcos Molina,,,,1/30,P800EE04125936,2 of 3,Waning Gibbous,25,,Terrestrial Vertebrate-1,Organization for Tropical Studies,Johanna Hurtado,Johanna Hurtado,Level 0
819013,Volcán Barva,CT-VB-1-10,10.4355645258434,-84.0342054510957,2011.01,Animal,2012-01-12,05:23:42,IMG_0009.JPG,,http://www.teamnetwork.org/DataDownloadApp/jsp/download/download-img.jsp?id=819013,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,2,Johanna Hurtado,P800EE04125936,10,,2012-01-10 20:53:45,2012-02-09 20:38:51,Marcos Molina,Marcos Molina,,,,1/30,P800EE04125936,3 of 3,Waning Gibbous,25,,Terrestrial Vertebrate-1,Organization for Tropical Studies,Johanna Hurtado,Johanna Hurtado,Level 0
819009,Volcán Barva,CT-VB-1-10,10.4355645258434,-84.0342054510957,2011.01,Animal,2012-01-12,05:23:45,IMG_0010.JPG,,http://www.teamnetwork.org/DataDownloadApp/jsp/download/download-img.jsp?id=819009,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,2,Johanna Hurtado,P800EE04125936,10,,2012-01-10 20:53:45,2012-02-09 20:38:51,Marcos Molina,Marcos Molina,,,,1/30,P800EE04125936,1 of 3,Waning Gibbous,25,,Terrestrial Vertebrate-1,Organization for Tropical Studies,Johanna Hurtado,Johanna Hurtado,Level 0
818862,Volcán Barva,CT-VB-1-10,10.4355645258434,-84.0342054510957,2011.01,Animal,2012-01-12,05:23:46,IMG_0011.JPG,,http://www.teamnetwork.org/DataDownloadApp/jsp/download/download-img.jsp?id=818862,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,2,Johanna Hurtado,P800EE04125936,10,,2012-01-10 20:53:45,2012-02-09 20:38:51,Marcos Molina,Marcos Molina,,,,1/30,P800EE04125936,2 of 3,Waning Gibbous,25,,Terrestrial Vertebrate-1,Organization for Tropical Studies,Johanna Hurtado,Johanna Hurtado,Level 0
818856,Volcán Barva,CT-VB-1-10,10.4355645258434,-84.0342054510957,2011.01,Animal,2012-01-12,05:23:47,IMG_0012.JPG,,http://www.teamnetwork.org/DataDownloadApp/jsp/download/download-img.jsp?id=818856,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,2,Johanna Hurtado,P800EE04125936,10,,2012-01-10 20:53:45,2012-02-09 20:38:51,Marcos Molina,Marcos Molina,,,,1/30,P800EE04125936,3 of 3,Waning Gibbous,25,,Terrestrial Vertebrate-1,Organization for Tropical Studies,Johanna Hurtado,Johanna Hurtado,Level 0
818915,Volcán Barva,CT-VB-1-10,10.4355645258434,-84.0342054510957,2011.01,Animal,2012-01-12,05:24:19,IMG_0013.JPG,,http://www.teamnetwork.org/DataDownloadApp/jsp/download/download-img.jsp?id=818915,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,2,Johanna Hurtado,P800EE04125936,10,,2012-01-10 20:53:45,2012-02-09 20:38:51,Marcos Molina,Marcos Molina,,,,1/30,P800EE04125936,1 of 3,Waning Gibbous,25,,Terrestrial Vertebrate-1,Organization for Tropical Studies,Johanna Hurtado,Johanna Hurtado,Level 0
