"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_Species","n_images","metadata_Individual","HierarchicalSubject"
"1","C1","Mephitis macroura",2018-03-28 02:34:50,2018-03-28,"02:34:50",0,0,0,0,"fotos_ejerciciosR/C1","C1__2018-03-28__02-34-50(1).JPG","Mephitis macroura",3,NA,"Species|Mephitis macroura"
"2","C1","Sylvilagus floridanus",2018-02-07 21:02:31,2018-02-07,"21:02:31",0,0,0,0,"fotos_ejerciciosR/C1","C1__2018-02-07__21-02-31(1).JPG","Sylvilagus floridanus",3,NA,"Species|Sylvilagus floridanus"
"3","C1","Urocyon cinereoargenteus",2018-04-18 22:07:31,2018-04-18,"22:07:31",0,0,0,0,"fotos_ejerciciosR/C1","C1__2018-04-18__22-07-31(1).JPG","Urocyon cinereoargenteus",6,NA,"Species|Urocyon cinereoargenteus"
"4","C2","Conepatus leuconotus",2018-04-15 19:19:09,2018-04-15,"19:19:09",0,0,0,0,"fotos_ejerciciosR/C2","C2__2018-04-15__19-19-09(1).JPG","Conepatus leuconotus",1,NA,"Species|Conepatus leuconotus"
"5","C2","Odocoileus virginianus",2018-01-26 06:43:46,2018-01-26,"06:43:46",0,0,0,0,"fotos_ejerciciosR/C2","C2__2018-01-26__06-43-46(1).JPG","Odocoileus virginianus",3,"H1","Species|Odocoileus virginianus, Individual|H1"
"6","C2","Odocoileus virginianus",2018-02-05 16:15:06,2018-02-05,"16:15:06",898277,14971.3,249.5,10.4,"fotos_ejerciciosR/C2","C2__2018-02-05__16-15-06(1).JPG","Odocoileus virginianus",3,"H1","Species|Odocoileus virginianus, Individual|H1"
"7","C2","Sylvilagus floridanus",2018-03-23 18:56:39,2018-03-23,"18:56:39",0,0,0,0,"fotos_ejerciciosR/C2","C2__2018-03-23__18-56-39(1).JPG","Sylvilagus floridanus",4,NA,"Species|Sylvilagus floridanus"
"8","C2","Sylvilagus floridanus",2018-03-24 00:38:55,2018-03-24,"00:38:55",20065,334.4,5.6,0.2,"fotos_ejerciciosR/C2","C2__2018-03-24__00-38-55(1).JPG","Sylvilagus floridanus",1,NA,"Species|Sylvilagus floridanus"
"9","C2","Sylvilagus floridanus",2018-04-17 04:58:03,2018-04-17,"04:58:03",2085548,34759.1,579.3,24.1,"fotos_ejerciciosR/C2","C2__2018-04-17__04-58-03(1).JPG","Sylvilagus floridanus",1,NA,"Species|Sylvilagus floridanus"
"10","C2","Urocyon cinereoargenteus",2018-03-23 21:08:26,2018-03-23,"21:08:26",0,0,0,0,"fotos_ejerciciosR/C2","C2__2018-03-23__21-08-26(1).JPG","Urocyon cinereoargenteus",1,NA,"Species|Urocyon cinereoargenteus"
"11","C2","Urocyon cinereoargenteus",2018-04-15 02:25:39,2018-04-15,"02:25:39",1916233,31937.2,532.3,22.2,"fotos_ejerciciosR/C2","C2__2018-04-15__02-25-39(1).JPG","Urocyon cinereoargenteus",1,NA,"Species|Urocyon cinereoargenteus"
"12","C2","Urocyon cinereoargenteus",2018-04-16 21:34:35,2018-04-16,"21:34:35",155336,2588.9,43.1,1.8,"fotos_ejerciciosR/C2","C2__2018-04-16__21-34-35(1).JPG","Urocyon cinereoargenteus",1,NA,"Species|Urocyon cinereoargenteus"
"13","C3","Canis latrans",2018-04-17 06:22:15,2018-04-17,"06:22:15",0,0,0,0,"fotos_ejerciciosR/C3","C3__2018-04-17__06-22-15(1).JPG","Canis latrans",1,NA,"Species|Canis latrans"
"14","C3","Conepatus leuconotus",2018-03-01 00:02:37,2018-03-01,"00:02:37",0,0,0,0,"fotos_ejerciciosR/C3","C3__2018-03-01__00-02-37(1).JPG","Conepatus leuconotus",3,NA,"Species|Conepatus leuconotus"
"15","C3","Odocoileus virginianus",2018-03-26 09:04:02,2018-03-26,"09:04:02",0,0,0,0,"fotos_ejerciciosR/C3","C3__2018-03-26__09-04-02(1).JPG","Odocoileus virginianus",2,"H2","Species|Odocoileus virginianus, Individual|H2"
"16","C3","Sylvilagus floridanus",2018-03-01 05:26:32,2018-03-01,"05:26:32",0,0,0,0,"fotos_ejerciciosR/C3","C3__2018-03-01__05-26-32(1).JPG","Sylvilagus floridanus",3,NA,"Species|Sylvilagus floridanus"
