Punto,Sitio,TVeg,Conteo,Densidad,HSI,Lluvia,Vacas
1,ALM,Mat,75,2,0.35,606,1
2,CBL,BTC,54,3.5,0.53,435,0
3,CHI,BCo,16,0.7,0.33,562,0
1,CHL,Mat,83,2.9,0.47,536,0
1,CUI,Mat,104,2.5,0.33,673,0
1,FRO,Mat,35,1.8,0.54,479,1
2,IXC,BTC,82,7,0.79,544,0
2,JAL,BTC,68,3.7,0.51,479,0
1,JRY,Mat,75,3,0.56,472,0
1,LCU,Mat,51,2,0.45,621,0
2,MIA,BTC,89,2.9,0.55,350,1
3,PAP,BCo,14,0.9,0.34,1332,1
3,QUI,BCo,16,0.9,0.3,676,1
3,TEC,BCo,54,1.9,0.64,564,1
2,TEP,BTC,65,3.1,0.53,713,0
2,TPO,BTC,105,3.8,0.6,905,0
3,XOC,BCo,40,1.5,0.56,613,1
3,ZAR,BCo,25,0.8,0.08,1257,1
