case;specid;latname;name;coordx;coordy;AQ;AQ.coordx;AQ.coordy;elev;rlength;nsurvey;forest;count041;count042;count043;count051;count052;count053;count061;count062;count063;count071;count072;count073;count081;count082;count083;count091;count092;count093;count101;count102;count103;count111;count112;count113;count121;count122;count123;count131;count132;count133;date041;date042;date043;date051;date052;date053;date061;date062;date063;date071;date072;date073;date081;date082;date083;date091;date092;date093;date101;date102;date103;date111;date112;date113;date121;date122;date123;date131;date132;date133;dur041;dur042;dur043;dur051;dur052;dur053;dur061;dur062;dur063;dur071;dur072;dur073;dur081;dur082;dur083;dur091;dur092;dur093;dur101;dur102;dur103;dur111;dur112;dur113;dur121;dur122;dur123;dur131;dur132;dur133;obs2004;obs2005;obs2006;obs2007;obs2008;obs2009;obs2010;obs2011;obs2012;obs2013
1;3790;PARMAJ;Great tit;922942;63276;1;920442;170224;450;6.4;3;3;NA;NA;NA;NA;NA;NA;20;8;3;20;12;20;18;23;16;33;26;17;24;16;7;NA;NA;NA;8;8;4;25;16;16;28;51;74;35;52;73;19;56;65;20;46;54;25;44;55;19;33;55;19;39;54;22;37;59;63;70;78;18;41;63;240;300;300;300;240;300;300;300;300;230;300;280;225;255;245;265;290;275;280;280;280;240;210;240;160;170;155;195;220;230;60;60;60;145;145;128;128;58;353;364
2;3790;PARMAJ;Great tit;928942;79276;2;930942;190724;450;5.5;3;21;21;14;13;16;18;8;14;9;3;16;9;6;10;11;4;9;14;6;12;8;9;11;10;6;11;12;6;20;10;12;23;38;59;20;35;65;15;28;55;19;50;56;20;41;69;24;32;51;16;43;53;23;36;65;20;47;57;13;49;62;175;155;165;170;170;170;180;170;170;180;180;180;185;190;180;185;180;200;180;220;190;180;170;179;190;190;180;201;215;190;144;144;144;144;144;144;144;144;144;144
3;3790;PARMAJ;Great tit;928942;103276;3;930942;210724;1050;4.3;3;32;2;6;3;4;3;3;7;6;3;8;4;8;8;8;5;6;3;6;3;4;3;4;1;0;5;6;4;4;4;1;25;60;95;24;59;87;23;62;90;22;55;62;32;62;83;30;58;71;29;43;90;17;44;65;26;44;70;26;58;75;215;185;195;210;195;165;180;190;165;175;195;175;195;180;175;165;215;195;190;185;300;195;135;240;150;195;210;210;210;210;318;318;318;318;318;128;128;113;74;74
4;3790;PARMAJ;Great tit;934942;95276;3;930942;210724;950;4.5;3;9;NA;NA;NA;NA;NA;NA;13;8;7;NA;NA;NA;9;6;5;12;13;11;NA;NA;NA;NA;NA;NA;11;12;8;12;11;6;24;54;74;22;60;76;22;57;78;22;49;71;20;62;76;15;33;75;17;33;54;31;37;59;29;42;56;13;35;63;180;180;180;180;180;180;240;240;240;300;255;240;160;205;180;245;210;260;160;170;150;165;175;170;180;195;190;175;175;165;123;123;123;3;365;365;287;287;287;287
5;3790;PARMAJ;Great tit;934942;111276;4;930942;220724;1150;5.4;3;35;4;0;2;4;6;2;0;2;1;5;2;3;3;1;3;3;2;0;4;1;1;4;0;1;11;6;3;0;1;0;22;48;69;28;51;73;23;42;70;15;43;61;27;45;69;23;42;69;26;47;73;18;44;68;27;47;68;24;45;66;180;200;205;180;195;260;190;180;210;180;215;210;200;195;210;170;180;210;210;210;255;205;205;205;200;180;210;235;170;220;113;113;113;113;113;113;113;113;113;113
6;3790;PARMAJ;Great tit;946942;95276;5;950942;210724;550;3.6;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;6;3;15;6;4;4;1;4;27;55;64;27;39;55;29;40;52;21;40;49;18;35;53;31;39;53;17;37;52;28;36;65;28;41;58;31;44;68;300;240;205;195;225;215;220;200;210;200;200;195;270;240;240;225;210;195;180;195;250;135;135;150;115;130;150;120;135;120;322;322;322;322;322;322;322;269;269;269
7;3790;PARMAJ;Great tit;946942;111276;6;950942;220724;750;3.9;3;6;11;9;4;16;13;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;6;9;8;5;5;6;7;6;12;11;4;20;48;55;22;43;69;29;52;65;21;53;65;27;52;81;17;47;76;15;39;59;18;42;64;17;37;66;14;45;66;215;215;195;165;155;170;150;135;180;150;210;135;135;150;150;120;180;180;150;165;180;150;180;180;180;195;195;195;255;165;111;128;74;74;74;74;74;74;74;74
8;3790;PARMAJ;Great tit;952942;119276;7;950942;230724;650;6.1;3;60;4;5;2;4;5;6;8;3;6;9;8;2;8;5;9;20;5;11;8;4;6;8;7;10;17;15;8;7;10;5;21;53;75;22;41;69;24;54;69;37;50;66;16;36;51;15;43;78;16;49;68;15;49;65;25;38;68;37;57;73;200;205;165;210;180;200;200;180;195;210;210;190;195;225;210;210;215;295;240;240;165;180;180;165;240;210;195;210;210;180;150;150;150;150;150;44;74;74;74;74
9;3790;PARMAJ;Great tit;958942;111276;9;960942;220724;550;5.8;3;5;NA;NA;NA;NA;NA;NA;5;4;5;7;6;14;11;8;6;6;8;5;22;9;5;10;8;7;12;13;17;10;14;4;34;48;67;23;49;65;23;44;66;29;43;57;27;40;61;30;47;61;17;38;52;16;30;44;26;47;70;18;41;56;135;130;135;150;120;135;240;210;230;205;255;180;190;180;190;165;195;180;220;190;180;190;195;185;195;170;210;185;205;170;74;74;173;173;174;174;174;174;174;174
10;3790;PARMAJ;Great tit;958942;127276;10;960942;240724;550;4.5;3;13;NA;NA;NA;5;6;5;4;5;7;9;7;8;7;8;6;6;10;5;9;7;4;6;6;4;2;4;3;5;6;6;20;44;70;21;36;70;21;40;68;20;40;61;25;43;66;21;58;73;21;53;77;22;41;72;24;32;66;29;58;68;150;145;150;165;180;175;150;180;200;180;185;195;180;160;150;180;190;165;160;140;145;155;160;145;225;200;205;220;215;225;137;137;137;137;137;259;259;259;271;271
