"","x","y","elevation","forest","water"
"1",910942,54276,340,6,0
"2",910942,55276,340,11,1
"3",911942,54276,380,4,0
"4",911942,55276,390,72,3
"5",911942,56276,357,9,7
"6",911942,57276,357,5,5
"7",911942,61276,500,0,0
"8",911942,62276,472,43,0
"9",911942,63276,462,6,0
"10",911942,64276,472,0,0
"11",912942,55276,401,30,0
"12",912942,56276,362,12,0
"13",912942,57276,367,4,0
"14",912942,58276,379,5,7
"15",912942,59276,382,12,9
"16",912942,61276,483,0,0
"17",912942,62276,464,30,0
"18",912942,63276,456,14,0
"19",912942,64276,450,4,0
"20",913942,56276,390,2,1
"21",913942,57276,414,8,0
"22",913942,58276,411,2,0
"23",913942,59276,364,7,9
"24",913942,60276,394,7,4
"25",913942,61276,422,2,0
"26",913942,62276,435,28,3
"27",913942,63276,416,33,1
"28",913942,64276,420,22,1
"29",913942,65276,430,2,0
"30",914942,56276,408,5,0
"31",914942,57276,425,1,0
"32",914942,58276,426,0,0
"33",914942,59276,415,21,8
"34",914942,60276,369,15,2
"35",914942,61276,393,36,5
"36",914942,62276,425,27,5
"37",914942,63276,455,27,0
"38",914942,64276,449,60,0
"39",914942,65276,428,29,0
"40",915942,55276,431,1,0
"41",915942,56276,436,6,1
"42",915942,57276,436,0,0
"43",915942,58276,431,6,0
"44",915942,59276,428,16,0
"45",915942,60276,365,27,16
"46",915942,61276,391,1,0
"47",915942,62276,418,18,0
"48",915942,63276,461,0,0
"49",915942,64276,487,4,0
"50",915942,65276,451,13,0
"51",915942,66276,436,3,0
"52",916942,55276,447,5,0
"53",916942,56276,445,0,0
"54",916942,57276,439,1,1
"55",916942,58276,442,0,0
"56",916942,59276,434,4,0
"57",916942,60276,406,37,2
"58",916942,61276,372,30,17
"59",916942,62276,394,8,22
"60",916942,63276,416,3,0
"61",916942,64276,456,1,0
"62",916942,65276,479,1,0
"63",916942,66276,448,0,0
"64",917942,55276,457,0,0
"65",917942,56276,449,0,0
"66",917942,57276,452,7,0
"67",917942,58276,453,20,0
"68",917942,59276,433,5,0
"69",917942,60276,412,38,0
"70",917942,61276,376,9,17
"71",917942,62276,377,5,15
"72",917942,63276,412,55,1
"73",917942,64276,417,2,2
"74",917942,65276,435,1,0
"75",917942,66276,455,0,0
"76",918942,57276,421,2,0
"77",918942,58276,453,0,0
"78",918942,59276,441,0,0
"79",918942,60276,406,10,0
"80",918942,61276,398,40,21
"81",918942,62276,384,3,0
"82",918942,63276,419,52,0
"83",918942,64276,426,0,0
"84",918942,65276,420,0,0
"85",918942,66276,436,2,0
"86",918942,67276,450,17,0
"87",919942,56276,424,3,0
"88",919942,57276,416,5,3
"89",919942,58276,422,0,1
"90",919942,59276,464,0,0
"91",919942,60276,417,2,0
"92",919942,61276,402,37,3
"93",919942,62276,388,33,19
"94",919942,63276,422,7,0
"95",919942,64276,433,0,0
"96",919942,65276,435,1,0
"97",919942,66276,421,6,0
"98",919942,67276,426,6,0
"99",919942,86276,1306,17,0
"100",919942,87276,1311,5,0
"101",920942,56276,441,0,0
"102",920942,57276,433,0,0
"103",920942,58276,408,4,2
"104",920942,59276,425,2,0
"105",920942,60276,428,0,0
"106",920942,61276,412,51,5
"107",920942,62276,397,19,14
"108",920942,63276,389,17,13
"109",920942,64276,437,1,0
"110",920942,65276,435,1,0
"111",920942,66276,435,1,0
"112",920942,67276,425,7,1
"113",920942,86276,1348,6,0
"114",920942,87276,1388,34,0
"115",920942,88276,1290,16,0
"116",920942,89276,1236,0,0
"117",920942,90276,1235,34,0
"118",920942,91276,1208,19,0
"119",920942,92276,1169,7,0
"120",921942,56276,466,0,0
"121",921942,57276,439,0,0
"122",921942,58276,406,0,0
"123",921942,59276,401,5,2
"124",921942,60276,426,0,0
"125",921942,61276,396,30,10
"126",921942,62276,399,10,5
"127",921942,63276,406,41,10
"128",921942,64276,416,12,0
"129",921942,65276,425,1,0
"130",921942,66276,429,3,0
"131",921942,67276,429,0,0
"132",921942,85276,1389,8,0
"133",921942,86276,1473,21,0
"134",921942,87276,1467,67,0
"135",921942,88276,1411,39,0
"136",921942,89276,1248,13,0
"137",921942,90276,1231,69,0
"138",921942,91276,1280,54,0
"139",921942,92276,1223,26,0
"140",921942,93276,1192,9,0
"141",922942,56276,471,0,0
"142",922942,57276,459,0,0
"143",922942,58276,417,0,0
"144",922942,59276,399,4,0
"145",922942,60276,415,4,0
"146",922942,61276,419,2,0
"147",922942,62276,405,15,11
"148",922942,63276,450,0,0
"149",922942,64276,427,1,0
"150",922942,65276,425,1,0
"151",922942,66276,421,0,0
"152",922942,67276,420,0,0
"153",922942,69276,433,0,0
"154",922942,70276,452,0,1
"155",922942,71276,466,6,0
"156",922942,72276,472,22,0
"157",922942,84276,1210,17,0
"158",922942,85276,1301,71,0
"159",922942,86276,1461,64,0
"160",922942,87276,1450,13,0
"161",922942,88276,1509,39,0
"162",922942,89276,1331,87,0
"163",922942,90276,1208,19,0
"164",922942,91276,1288,76,0
"165",922942,92276,1295,25,0
"166",922942,93276,1356,55,0
"167",922942,94276,1308,61,0
"168",922942,95276,1186,18,0
"169",923942,55276,490,0,0
"170",923942,56276,477,0,0
"171",923942,57276,463,0,0
"172",923942,58276,419,0,0
"173",923942,59276,397,0,0
"174",923942,60276,390,4,0
"175",923942,61276,407,2,0
"176",923942,62276,399,15,14
"177",923942,63276,416,0,0
"178",923942,64276,433,1,0
"179",923942,65276,450,0,0
"180",923942,66276,433,1,0
"181",923942,67276,414,0,0
"182",923942,68276,416,0,0
"183",923942,69276,425,2,0
"184",923942,70276,434,1,0
"185",923942,71276,445,21,0
"186",923942,72276,447,55,0
"187",923942,73276,458,50,0
"188",923942,74276,461,11,0
"189",923942,75276,466,2,0
"190",923942,84276,1022,72,0
"191",923942,85276,1201,89,0
"192",923942,86276,1256,99,0
"193",923942,87276,1443,66,0
"194",923942,88276,1409,54,0
"195",923942,89276,1290,81,0
"196",923942,90276,1215,67,0
"197",923942,91276,1297,67,0
"198",923942,92276,1360,63,0
"199",923942,93276,1456,26,0
"200",923942,94276,1507,45,0
"201",923942,95276,1339,86,0
"202",923942,96276,1226,48,0
"203",923942,97276,1154,12,0
"204",923942,103276,1273,11,0
