Sampling.Unit.Name	elevation	river	border	edge	habitat	slope	aspect
CT-UDZ-1-01	1329	489	5612	579	Montane	31.171652	158.500671
CT-UDZ-1-02	726	339	2011	569	Deciduous	14.157136	130.842163
CT-UDZ-1-03	391	326	673	70	Deciduous	9.114254	49.746979
CT-UDZ-1-04	1468	260	6048	719	Montane	15.038474	159.318817
CT-UDZ-1-05	1424	114	4620	1607	Montane	16.788244	122.805679
CT-UDZ-1-06	1343	353	3331	1271	Montane	14.243545	167.781799
CT-UDZ-1-07	972	336	1774	1387	Deciduous	42.382351	175.788177
CT-UDZ-1-08	642	413	595	769	Deciduous	14.720253	136.903992
CT-UDZ-1-09	1370	241	4967	1024	Montane	20.764597	45.439575
CT-UDZ-1-10	1362	264	3813	1348	Montane	7.441946	99.025879
CT-UDZ-1-11	1283	224	2499	2408	Montane	14.2138	19.5345
CT-UDZ-1-12	879	808	1235	1548	Deciduous	30.56826	137.137207
CT-UDZ-1-13	1297	632	6565	109	Montane	43.625916	31.486725
CT-UDZ-1-14	1173	545	5132	129	Montane	33.857132	93.018219
CT-UDZ-1-15	913	382	3794	626	Deciduous	18.700281	64.289749
CT-UDZ-1-16	731	15	2445	1410	Deciduous	30.039766	39.513672
CT-UDZ-1-17	687	325	1085	1602	Deciduous	18.564236	111.392426
CT-UDZ-1-18	954	342	2764	184	Deciduous	14.467772	164.099518
CT-UDZ-1-19	556	230	1347	830	Deciduous	25.546774	160.288788
CT-UDZ-1-20	525	159	66	829	Deciduous	11.844898	47.796661
CT-UDZ-2-01	887	52	4068	298	Deciduous	21.797432	121.256622
CT-UDZ-2-02	888	240	3218	402	Deciduous	45.174389	85.468353
CT-UDZ-2-03	1107	688	1917	1184	Deciduous	25.036476	158.566681
CT-UDZ-2-04	640	1427	629	1329	Deciduous	6.786586	30.884933
CT-UDZ-2-05	1499	226	6324	533	Montane	17.523985	151.707397
CT-UDZ-2-06	1415	197	5042	1297	Montane	17.047123	141.390839
CT-UDZ-2-07	1463	696	3843	1763	Montane	27.146767	171.647186
CT-UDZ-2-08	1232	1306	2405	2231	Montane	32.067642	64.98703
CT-UDZ-2-09	777	829	1024	1748	Deciduous	21.048759	112.364838
CT-UDZ-2-10	378	302	330	482	Deciduous	15.874851	105.622742
CT-UDZ-2-11	1586	233	6771	1661	Montane	26.093153	142.474869
CT-UDZ-2-12	1798	329	5424	2191	Montane	36.879498	164.395401
CT-UDZ-2-13	1675	62	4118	2911	Montane	21.356987	137.176025
CT-UDZ-2-14	1239	33	2834	3524	Montane	20.735252	128.731903
CT-UDZ-2-15	1122	452	1637	2316	Montane	25.771677	174.719513
CT-UDZ-2-16	680	5	372	1034	Deciduous	16.711714	59.790466
CT-UDZ-2-17	1277	616	7247	308	Montane	25.422089	37.496155
CT-UDZ-2-18	1463	714	5976	907	Montane	24.354555	47.156006
CT-UDZ-2-19	1733	311	4678	1911	Montane	12.842546	159.716324
CT-UDZ-2-20	1423	269	3523	2814	Montane	18.765783	111.79538
CT-UDZ-3-01	1377	1442	2281	2131	Montane	23.171885	141.506195
CT-UDZ-3-02	1016	705	1033	1831	Montane	16.274677	124.370514
CT-UDZ-3-03	561	890	313	521	Deciduous	27.199131	117.692749
CT-UDZ-3-04	1400	1038	6545	281	Montane	24.048208	53.836731
CT-UDZ-3-05	1462	101	5373	984	Montane	15.579961	45.108337
CT-UDZ-3-06	1522	655	4072	2174	Montane	10.502537	24.311676
CT-UDZ-3-07	1355	2062	2708	1110	Montane	25.247536	29.130707
CT-UDZ-3-08	1108	2118	1341	486	Montane	21.379456	150.998016
CT-UDZ-3-09	566	1326	13	116	Deciduous	20.028168	11.348724
CT-UDZ-3-10	1374	1014	5751	263	Montane	12.622332	173.337128
CT-UDZ-3-11	1282	1655	4410	1536	Montane	14.58766	12.423004
CT-UDZ-3-12	1027	2605	3005	638	Montane	25.568869	1.909851
CT-UDZ-3-13	709	323	557	438	Deciduous	27.282797	89.585175
CT-UDZ-3-14	1358	680	6133	425	Montane	22.889853	129.13324
CT-UDZ-3-15	1265	2067	4811	891	Montane	20.815947	161.386459
CT-UDZ-3-16	1109	2998	3593	9	Montane	28.511292	105.559219
CT-UDZ-3-17	728	463	1203	89	Deciduous	25.796947	64.604858
CT-UDZ-3-18	1724	903	5811	802	Montane	23.294996	122.409103
CT-UDZ-3-19	1756	2276	5548	1427	Montane	13.870706	167.710632
CT-UDZ-3-20	1488	2489	4384	643	Montane	14.783385	137.378052
