ID	x	y	edge	border	river	road	habitat
1	259662.60	9131368.69	186.99	6116.04	612.36	6392.01	Montane
2	259762.60	9131368.69	258.57	6019.64	712.31	6304.52	Montane
3	259862.60	9131368.69	284.72	5923.37	647.37	6217.40	Montane
4	259962.60	9131368.69	244.42	5827.22	552.96	6130.68	Montane
5	260062.60	9131368.69	217.35	5731.21	460.91	6044.37	Montane
6	260162.60	9131368.69	198.02	5635.33	372.98	5958.49	Montane
7	260262.60	9131368.69	183.55	5539.60	292.90	5873.05	Montane
8	260362.60	9131368.69	166.29	5444.02	229.06	5788.08	Montane
9	260462.60	9131368.69	160.11	5348.61	197.85	5703.60	Montane
10	260562.60	9131368.69	143.47	5253.36	214.06	5619.62	Montane
11	260662.60	9131368.69	97.20	5158.29	269.25	5536.18	Montane
12	260762.60	9131368.69	34.31	5063.42	344.35	5453.30	Montane
13	264062.60	9131368.69	27.00	1964.53	161.44	2667.48	Deciduous
14	264162.60	9131368.69	68.21	1864.71	145.38	2571.16	Deciduous
15	264262.60	9131368.69	113.74	1764.91	186.68	2475.12	Deciduous
16	264362.60	9131368.69	168.91	1665.13	214.70	2379.16	Deciduous
17	264462.60	9131368.69	237.34	1565.38	161.70	2283.20	Deciduous
18	264562.60	9131368.69	320.10	1465.67	161.84	2187.27	Deciduous
19	264662.60	9131368.69	406.15	1365.99	203.43	2091.65	Deciduous
20	264762.60	9131368.69	496.78	1266.37	245.13	1996.45	Deciduous
21	264862.60	9131368.69	590.45	1166.81	275.41	1901.75	Deciduous
22	264962.60	9131368.69	630.71	1067.34	306.44	1807.62	Deciduous
23	265062.60	9131368.69	530.72	967.97	343.85	1714.16	Deciduous
24	265162.60	9131368.69	430.73	868.75	381.27	1621.47	Deciduous
25	265262.60	9131368.69	330.74	769.73	422.93	1529.71	Deciduous
26	265362.60	9131368.69	230.77	671.00	472.21	1439.04	Deciduous
27	265462.60	9131368.69	130.84	572.71	494.34	1349.70	Deciduous
28	265562.60	9131368.69	31.37	475.14	394.46	1261.95	Deciduous
29	259562.60	9131468.69	45.89	6239.29	509.93	6527.90	Montane
30	259662.60	9131468.69	117.24	6143.20	609.92	6440.70	Montane
31	259762.60	9131468.69	191.55	6047.24	709.91	6353.88	Montane
32	259862.60	9131468.69	277.72	5951.41	684.48	6267.45	Montane
33	259962.60	9131468.69	341.10	5855.73	595.98	6181.43	Montane
34	260062.60	9131468.69	312.62	5760.19	511.73	6095.84	Montane
35	260162.60	9131468.69	297.36	5664.80	434.22	6010.69	Montane
36	260262.60	9131468.69	282.28	5569.58	367.73	5926.01	Montane
37	260362.60	9131468.69	265.22	5474.52	319.22	5841.81	Montane
38	260462.60	9131468.69	260.03	5379.65	297.62	5758.11	Montane
39	260562.60	9131468.69	236.81	5284.96	308.63	5674.95	Montane
40	260662.60	9131468.69	175.32	5190.47	349.18	5592.33	Montane
41	260762.60	9131468.69	111.30	5096.20	410.61	5510.10	Montane
42	260862.60	9131468.69	46.05	5002.14	484.97	5427.88	Deciduous
43	264062.60	9131468.69	68.65	1961.26	254.35	2642.86	Deciduous
44	264162.60	9131468.69	158.19	1861.27	244.47	2545.60	Deciduous
45	264262.60	9131468.69	201.82	1761.27	255.50	2448.57	Deciduous
46	264362.60	9131468.69	249.45	1661.27	159.15	2351.79	Deciduous
47	264462.60	9131468.69	309.92	1561.28	73.32	2255.29	Deciduous
48	264562.60	9131468.69	378.39	1461.28	70.20	2159.11	Deciduous
49	264662.60	9131468.69	457.89	1361.29	113.11	2063.15	Deciduous
50	264762.60	9131468.69	542.84	1261.29	149.82	1967.19	Deciduous
51	264862.60	9131468.69	629.72	1161.30	180.10	1871.23	Deciduous
52	264962.60	9131468.69	639.62	1061.31	213.70	1775.48	Deciduous
53	265062.60	9131468.69	541.27	961.32	251.12	1680.23	Deciduous
54	265162.60	9131468.69	443.67	861.33	288.57	1585.56	Deciduous
55	265262.60	9131468.69	347.43	761.34	335.92	1491.59	Deciduous
56	265362.60	9131468.69	254.11	661.36	385.19	1398.45	Deciduous
57	265462.60	9131468.69	167.08	561.39	437.01	1306.33	Deciduous
58	265562.60	9131468.69	80.30	461.43	401.53	1215.46	Deciduous
59	265662.60	9131468.69	9.15	361.49	304.07	1126.13	Deciduous
60	259662.60	9131568.69	54.18	6171.86	619.70	6490.57	Montane
61	259762.60	9131568.69	142.60	6076.36	718.33	6404.42	Montane
62	259862.60	9131568.69	236.35	5981.00	733.45	6318.68	Montane
63	259962.60	9131568.69	333.75	5885.79	651.63	6233.37	Montane
64	260062.60	9131568.69	409.85	5790.75	575.59	6148.50	Montane
65	260162.60	9131568.69	396.70	5695.87	507.91	6064.09	Montane
66	260262.60	9131568.69	380.75	5601.18	452.39	5980.16	Montane
67	260362.60	9131568.69	364.74	5506.67	413.92	5896.74	Montane
68	260462.60	9131568.69	359.96	5412.36	397.50	5813.84	Montane
69	260562.60	9131568.69	316.32	5318.25	405.81	5731.46	Montane
70	260662.60	9131568.69	251.68	5224.37	437.44	5649.24	Montane
71	260762.60	9131568.69	187.20	5130.71	487.89	5567.06	Montane
72	260862.60	9131568.69	99.72	5037.30	552.01	5485.33	Montane
73	260962.60	9131568.69	4.14	4944.15	625.61	5404.21	Deciduous
74	261462.60	9131568.69	10.25	4482.82	372.36	5008.89	Montane
75	261762.60	9131568.69	43.74	4210.27	80.00	4748.71	Montane
76	261862.60	9131568.69	36.58	4120.26	17.73	4661.78	Montane
77	263862.60	9131568.69	5.49	2162.91	439.52	2818.35	Montane
78	263962.60	9131568.69	8.12	2063.00	385.03	2720.02	Montane
79	264062.60	9131568.69	87.79	1963.09	351.17	2621.82	Deciduous
80	264162.60	9131568.69	184.25	1863.19	344.09	2523.75	Deciduous
81	264262.60	9131568.69	281.69	1763.30	253.99	2425.85	Deciduous
82	264362.60	9131568.69	337.21	1663.43	156.71	2328.12	Deciduous
83	264462.60	9131568.69	387.61	1563.57	67.87	2230.60	Deciduous
84	264562.60	9131568.69	450.92	1463.73	20.13	2133.30	Deciduous
85	264662.60	9131568.69	519.64	1363.91	22.78	2036.27	Deciduous
86	264762.60	9131568.69	597.09	1264.13	54.52	1939.53	Deciduous
87	264862.60	9131568.69	680.41	1164.38	84.80	1843.15	Deciduous
88	264962.60	9131568.69	663.65	1064.67	120.96	1747.13	Deciduous
89	265062.60	9131568.69	569.46	965.03	158.38	1651.17	Deciduous
90	265162.60	9131568.69	477.66	865.47	199.62	1555.21	Deciduous
91	265262.60	9131568.69	389.88	766.03	248.90	1459.34	Deciduous
92	265362.60	9131568.69	303.90	666.75	299.30	1364.00	Deciduous
93	265462.60	9131568.69	214.46	567.73	352.05	1269.39	Deciduous
94	265562.60	9131568.69	125.16	469.12	405.68	1175.66	Deciduous
95	265662.60	9131568.69	42.63	371.26	343.64	1083.06	Deciduous
96	259662.60	9131668.69	21.27	6202.01	645.03	6541.58	Montane
97	259762.60	9131668.69	119.98	6106.97	740.29	6456.12	Montane
